sample_id,study_name,study_subset,environment,sample,groupby,group,T,pH,O2_umol_L,Eh,Eh7,Bacteria_Zc,Archaea_Zc
SRR9049909,GSBT20,Postfilter,River & Seawater,BUS10post,Region,Asia,27.44,8.28,255.95,10,86.34,-0.186525,NA
SRR9049915,GSBT20,Postfilter,River & Seawater,BUS11post,Region,Asia,27.39,8.29,230.95,10.4,87.32,-0.187209,NA
SRR9050298,GSBT20,Postfilter,River & Seawater,BUS12post,Region,Asia,27.33,8.29,257.51,10.7,87.61,-0.187919,NA
SRR9049843,GSBT20,Postfilter,River & Seawater,HK10post,Region,Asia,28,7.96,218.45,2.7,60.06,-0.161516,NA
SRR9049985,GSBT20,Postfilter,River & Seawater,HK12post,Region,Asia,27.5,7.91,197.51,7,61.28,-0.165156,NA
SRR9049989,GSBT20,Postfilter,River & Seawater,HK14post,Region,Asia,27.17,7.87,198.44,5.5,57.34,-0.160976,NA
SRR9053821,GSBT20,Postfilter,River & Seawater,KEW11post,Region,Great Lakes,11.33,7.51,339.08,58.4,87.19,-0.162148,NA
SRR9053823,GSBT20,Postfilter,River & Seawater,KEW14post,Region,Great Lakes,12.22,7.66,347.2,73.8,111.17,-0.165781,NA
SRR9053827,GSBT20,Postfilter,River & Seawater,KEW15post,Region,Great Lakes,11.61,7.62,345.33,75.3,110.33,-0.164643,NA
SRR9053565,GSBT20,Postfilter,River & Seawater,LA12post,Region,West Coast U.S.,21,8.21,251.88,44.7,115.32,-0.170432,-0.121401
SRR9053865,GSBT20,Postfilter,River & Seawater,LA14post,Region,West Coast U.S.,22.28,8.18,240.32,41.2,110.37,-0.170772,NA
SRR9053863,GSBT20,Postfilter,River & Seawater,LA15post,Region,West Coast U.S.,22.83,8.21,249.38,44,115.06,-0.172548,NA
SRR9053240,GSBT20,Postfilter,River & Seawater,OAK10post,Region,West Coast U.S.,15.94,7.58,225.63,77.1,110.37,-0.175992,-0.122105
SRR9053242,GSBT20,Postfilter,River & Seawater,OAK11post,Region,West Coast U.S.,15.39,7,229.07,100.7,100.7,-0.176617,-0.121004
SRR9053266,GSBT20,Postfilter,River & Seawater,OAK16post,Region,West Coast U.S.,18.39,7.77,210.95,63.1,107.64,-0.188502,-0.116039
SRR9053149,GSBT20,Postfilter,River & Seawater,SEA11post,Region,West Coast U.S.,12.83,7.86,240.63,71.3,120.1,-0.173973,-0.129228
SRR9053151,GSBT20,Postfilter,River & Seawater,SEA12post,Region,West Coast U.S.,13.22,7.85,243.13,74,122.3,-0.170618,-0.125631
SRR9053262,GSBT20,Postfilter,River & Seawater,SEA13post,Region,West Coast U.S.,13.39,7.86,246.88,73.7,122.59,-0.172137,-0.126859
SRR9049881,GSBT20,Postfilter,River & Seawater,SING10post,Region,Asia,29.28,7.81,177.82,21.7,70.3,-0.167917,-0.184406
SRR9049874,GSBT20,Postfilter,River & Seawater,SING12post,Region,Asia,29.33,7.89,178.76,22.5,75.91,-0.17003,-0.160845
SRR9050242,GSBT20,Postfilter,River & Seawater,SING13post,Region,Asia,30.06,7.89,218.76,17.4,70.94,-0.150974,-0.138525
SRR9053386,GSBT20,Postfilter,River & Seawater,BALT10post,Region,East Coast U.S.,25.5,8.52,283.45,95,185.07,-0.167722,NA
SRR9053392,GSBT20,Postfilter,River & Seawater,BALT11post,Region,East Coast U.S.,25.56,8.57,285.64,95.8,188.85,-0.163102,NA
SRR9053390,GSBT20,Postfilter,River & Seawater,BALT12post,Region,East Coast U.S.,25.72,8.61,295.95,94.7,190.17,-0.159265,NA
SRR9053223,GSBT20,Postfilter,River & Seawater,CHA12post,Region,East Coast U.S.,26.39,7.53,174.69,69.7,101.2,-0.177892,-0.119114
SRR9053065,GSBT20,Postfilter,River & Seawater,CHA14post,Region,East Coast U.S.,26.39,7.68,173.44,73.8,114.21,-0.14969,NA
SRR9053067,GSBT20,Postfilter,River & Seawater,CHA15post,Region,East Coast U.S.,26.44,7.69,175.01,75.6,116.61,-0.150434,NA
SRR9050273,GSBT20,Postfilter,River & Seawater,EUM10post,Region,Europe,15.17,8.02,263.76,185.1,243.45,-0.174542,NA
